,0,1,2,3,4,5,6,7,8,9
0,1498.0,985.0,2002.0,1738.0,1041.0,312.0,44.0,4.0,0.0,0.0
1,331.0,1382.0,3052.0,2967.0,2298.0,1229.0,626.0,100.0,5.0,0.0
2,115.0,355.0,971.0,1256.0,1158.0,1503.0,1187.0,462.0,192.0,126.0
3,111.0,168.0,475.0,624.0,517.0,1166.0,1548.0,1160.0,457.0,309.0
4,99.0,171.0,340.0,350.0,299.0,747.0,1273.0,1389.0,755.0,185.0
5,38.0,100.0,205.0,262.0,192.0,263.0,720.0,818.0,838.0,271.0
6,38.0,68.0,171.0,170.0,154.0,179.0,166.0,366.0,385.0,133.0
7,38.0,75.0,105.0,156.0,116.0,152.0,139.0,214.0,134.0,76.0
8,23.0,39.0,100.0,141.0,121.0,93.0,81.0,79.0,61.0,20.0
9,17.0,12.0,39.0,102.0,136.0,79.0,115.0,99.0,72.0,47.0
